latent_idx,combined_score,freq_diff,kl_divergence,mean_diff
2714,3.0,0.6161075,10.518901,238.37027
3167,2.3148518,0.37467158,7.25635,97.00917
4134,1.9439224,0.28354532,4.447368,78.07464
1162,1.8938427,0.24451023,4.3461146,73.664925
1862,1.8569891,0.24208422,4.0303,69.44472
4780,1.7266302,0.2015894,3.3714209,41.321938
1967,1.6813464,0.16999753,2.9078853,66.575516
629,1.6746876,0.17006978,2.8037367,69.47975
428,1.6662848,0.17543593,2.83942,54.21664
1733,1.6600556,0.19197723,2.596624,55.8204
407,1.6422445,0.16508357,2.7710223,46.821163
6055,1.6180546,0.15766099,2.7229867,35.073833
1928,1.6176617,0.16828075,2.5887642,37.518517
2537,1.5926888,0.14359733,2.4365187,48.519157
970,1.5850871,0.152778,2.2793043,47.571926
719,1.5843375,0.17235231,2.1800675,39.17596
1191,1.5665143,0.13231997,2.232195,51.75926
28,1.5635482,0.1344683,2.2958312,41.72299
1576,1.545769,0.12558599,2.1671174,44.068066
2307,1.5373738,0.13225804,2.1836736,29.384596
1535,1.5314411,0.1268919,2.1538777,31.028652
2276,1.5204535,0.12262522,2.0778708,31.149975
2162,1.4893904,0.10880829,1.9240419,27.65077
304,1.4514141,0.100429766,1.5694759,30.740444
3728,1.4450496,0.09598862,1.5731719,28.30646
851,1.4446908,0.044710927,1.9299877,39.759064
752,1.4428891,0.092770785,1.5316538,32.625446
3458,1.4325254,0.08906983,1.4672335,31.838049
1954,1.4301274,0.08684925,1.4113575,36.355614
3989,1.4258525,0.087095976,1.4698962,27.152723
1163,1.4256477,0.08413521,1.4018495,35.351234
1645,1.422395,0.093521304,1.4679629,18.796795
1422,1.4192154,0.084588416,1.4587728,24.143896
101,1.4189272,0.08698346,1.3336539,32.75706
1058,1.416595,0.08290155,1.3489932,32.698086
2683,1.4159837,0.08660252,1.4046985,24.20829
1195,1.4125767,0.08586232,1.4300781,19.504957
824,1.4118724,0.083641745,1.3728602,25.687712
2618,1.411217,0.06743288,1.5256172,25.338234
348,1.4080057,0.083148286,1.3710347,22.722824
1286,1.4057658,0.074019246,1.2110521,42.1998
1643,1.405415,0.08291188,1.330992,24.032007
9507,1.3989289,0.07698002,1.2702222,28.334427
14661,1.3980503,0.07673328,1.2701746,27.741184
3355,1.3963037,0.07747348,1.2501606,27.266031
329,1.3927093,0.07352579,1.1958615,31.994139
10157,1.3923758,0.08641773,1.2219042,18.66619
2053,1.3911017,0.08642805,1.1160383,26.694681
3556,1.3904133,0.07800823,1.106426,33.927887
4322,1.3872125,0.07673328,1.2687285,17.957579
